-----
{
 "description": "The table refers to district wise distribution of surface flow schemes according to social status. It has been sourced from 2nd census of minor irrigation scheme(1993-94) from Ministry of Water Resources.", 
 "file_name": "Statetab4.4.csv", 
 "title": "Download CSV for Districtwise Distribution of Surface Flow Schemes according to social status for 2nd census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statetab4.4.csv"
}
-----
State,District,Scheduled caste,Scheduled tribe,Other social status of farmers,Total
ANDHRA PRADESH,ADILABAD,18,0,105,123
ANDHRA PRADESH,ANANTHAPUR,4,6,146,156
ANDHRA PRADESH,CHITTOOR,12,0,273,285
ANDHRA PRADESH,CUDDAPAH,7,0,67,74
ANDHRA PRADESH,EAST GODAVARI,34,40,157,231
ANDHRA PRADESH,GUNTUR,0,0,10,10
ANDHRA PRADESH,HYDERABAD,0,0,3,3
ANDHRA PRADESH,KARIMNAGAR,1,1,16,18
ANDHRA PRADESH,KHAMMAM,4,36,149,189
ANDHRA PRADESH,KRISHNA,10,4,90,104
ANDHRA PRADESH,KURNOOL,26,109,160,295
ANDHRA PRADESH,MAHABOOB NAGAR,150,181,972,1303
ANDHRA PRADESH,MEDAK,107,23,667,797
ANDHRA PRADESH,NALGONDA,102,228,1255,1585
ANDHRA PRADESH,NELLORE,18,0,120,138
ANDHRA PRADESH,NIZAMABAD,18,1,220,239
ANDHRA PRADESH,PRAKASAM,23,1,415,439
ANDHRA PRADESH,RANGA REDDY,4,0,31,35
ANDHRA PRADESH,SRIKAKULUM,3,0,71,74
ANDHRA PRADESH,VIJAYA NAGARAM,1,4,101,106
ANDHRA PRADESH,VISAKHAPATNAM,9,59,239,307
ANDHRA PRADESH,WARANGAL,110,171,1199,1480
ANDHRA PRADESH,WEST GODAVARI,0,0,58,58
ARUNACHAL PRADESH,CHANGLANG,2,92,11,105
ARUNACHAL PRADESH,DIBANG VALLEY,0,39,0,39
ARUNACHAL PRADESH,EAST KAMENG,0,1,0,1
ARUNACHAL PRADESH,EAST SIANG,7,750,7,764
ARUNACHAL PRADESH,LOHIT,0,1,0,1
ARUNACHAL PRADESH,LOWER SUBANSIRI,0,30,0,30
ARUNACHAL PRADESH,PAPUM PARE,0,103,3,106
ARUNACHAL PRADESH,TAWANG,0,19,0,19
ARUNACHAL PRADESH,TIRAP,0,59,0,59
ARUNACHAL PRADESH,UPPER SIANG,1,268,1,270
ARUNACHAL PRADESH,UPPER SUBANSIRI,55,421,4,480
ARUNACHAL PRADESH,WEST KAMENG,0,1,0,1
ARUNACHAL PRADESH,WEST SIANG,0,81,1,82
ASSAM,BARPETA,0,0,0,0
ASSAM,BONGAIGAON,0,1,0,1
ASSAM,CACHAR,0,0,0,0
ASSAM,DARRANG,0,50,119,169
ASSAM,DHEMAJI,0,0,0,0
ASSAM,DHUBRI,1,3,37,41
ASSAM,DIBRUGARH,0,0,0,0
ASSAM,GOALPARA,0,0,86,86
ASSAM,GOLAGHAT,0,0,0,0
ASSAM,HAILAKANDI,NA,NA,NA,NA
ASSAM,JORHAT,0,0,0,0
ASSAM,KAMRUP,1,1,96,98
ASSAM,KARBI ANGLONG,3,275,490,768
ASSAM,KARIMGANJ,0,0,0,0
ASSAM,KOKRAJHAR,0,0,0,0
ASSAM,LAKHIMPUR,0,0,0,0
ASSAM,MARIGAON,1,4,0,5
ASSAM,NAGAON,0,0,0,0
ASSAM,NALBARI,15,39,22,76
ASSAM,NORTH CACHAR HILLS,0,87,4,91
ASSAM,SIBSAGAR,0,0,0,0
ASSAM,SONITPUR,1,0,7,8
ASSAM,TINSUKIA,0,0,2,2
BIHAR,ARARIA,7,0,33,40
BIHAR,AURANGABAD,NA,NA,NA,NA
BIHAR,BANKA,11,3,186,200
BIHAR,BEGUSARAI,0,0,0,0
BIHAR,BHABUA,9,33,30,72
BIHAR,BHAGALPUR,0,0,58,58
BIHAR,BHOJPUR,6,0,2,8
BIHAR,BOKARO,271,256,1370,1897
BIHAR,BUXAR,0,0,2,2
BIHAR,CHAMPARAN EAST,0,0,18,18
BIHAR,CHAMPARAN WEST,7,0,39,46
BIHAR,CHATRA,1014,14,437,1465
BIHAR,DARBHANGA,10,0,75,85
BIHAR,DEOGHAR,136,110,1030,1276
BIHAR,DHANBAD,99,180,357,636
BIHAR,DUMKA,535,4553,2800,7888
BIHAR,GARHWA,395,336,1043,1774
BIHAR,GAYA,34,1,1276,1311
BIHAR,GIRIDIH,34,54,572,660
BIHAR,GODDA,20,241,222,483
BIHAR,GOPALGANJ,NA,NA,NA,NA
BIHAR,GUMLA,26,63,46,135
BIHAR,HAZARIBAG,2,0,29,31
BIHAR,JAMUI,148,25,963,1136
BIHAR,JEHANABAD,26,1,105,132
BIHAR,KATIHAR,NA,NA,NA,NA
BIHAR,KHAGARIA,0,0,2,2
BIHAR,KISHANGANJ,NA,NA,NA,NA
BIHAR,KODARMA,9,0,43,52
BIHAR,LAKHISARAI,0,1,2,3
BIHAR,LOHARDAGA,8,113,10,131
BIHAR,MADHEPURA,0,0,0,0
BIHAR,MADHUBANI,0,0,0,0
BIHAR,MUNGER,9,5,287,301
BIHAR,MUZAFFARPUR,0,0,0,0
BIHAR,NALANDA,16,0,25,41
BIHAR,NAWADA,673,3,594,1270
BIHAR,PAKUR,59,1828,368,2255
BIHAR,PALAMU,807,387,1115,2309
BIHAR,PATNA,0,0,2,2
BIHAR,PURNIA,0,0,50,50
BIHAR,RANCHI,28,189,151,368
BIHAR,ROHTAS,66,0,64,130
BIHAR,SAHARSA,0,0,0,0
BIHAR,SAHEBGANJ,146,1591,266,2003
BIHAR,SAMASTIPUR,0,0,1,1
BIHAR,SARAN,0,0,6,6
BIHAR,SHEIKHPURA,0,0,92,92
BIHAR,SHEOHAR,0,0,4,4
BIHAR,SINGHBHUM EAST,75,576,357,1008
BIHAR,SINGHBHUM WEST,126,2566,676,3368
BIHAR,SITAMARHI,0,0,4,4
BIHAR,SIWAN,0,0,3,3
BIHAR,SUPAUL,0,0,0,0
BIHAR,VAISHALI,0,0,4,4
GOA,NORTH GOA,18,1,2352,2371
GOA,SOUTH GOA,0,0,631,631
GUJARAT,,NA,NA,NA,NA
HARYANA,AMBALA,128,3,267,398
HARYANA,BHIWANI,1,0,59,60
HARYANA,FARIDABAD,0,0,0,0
HARYANA,GURGAON,0,0,16,16
HARYANA,HISAR,NA,NA,NA,NA
HARYANA,JIND,NA,NA,NA,NA
HARYANA,KAITHAL,NA,NA,NA,NA
HARYANA,KARNAL,NA,NA,NA,NA
HARYANA,KURUKSHETRA,3,0,21,24
HARYANA,MEHANDERGARH,NA,NA,NA,NA
HARYANA,PANCHKULA,1,0,6,7
HARYANA,PANIPAT,NA,NA,NA,NA
HARYANA,RIWARI,NA,NA,NA,NA
HARYANA,ROHTAK,NA,NA,NA,NA
HARYANA,SIRSA,NA,NA,NA,NA
HARYANA,SONIPAT,NA,NA,NA,NA
HARYANA,YAMUNA NAGAR,NA,NA,NA,NA
HIMACHAL PRADESH,Bilaspur,4,2,566,572
HIMACHAL PRADESH,Chamba,3,3,491,497
HIMACHAL PRADESH,Hamirpur,1,0,99,100
HIMACHAL PRADESH,Kangra,3,5,1615,1623
HIMACHAL PRADESH,Kinnaur,1,7,221,229
HIMACHAL PRADESH,Kullu,1,1,117,119
HIMACHAL PRADESH,Lahul & Spiti,1,15,418,434
HIMACHAL PRADESH,Mandi,24,4,1628,1656
HIMACHAL PRADESH,Shimla,30,0,822,852
HIMACHAL PRADESH,Sirmaur,53,21,1147,1221
HIMACHAL PRADESH,Solan,25,0,1313,1338
HIMACHAL PRADESH,Una,0,0,6,6
JAMMU & KASHMIR,Anantnagh,0,0,797,797
JAMMU & KASHMIR,Baramulla,0,0,515,515
JAMMU & KASHMIR,Budgam,0,0,274,274
JAMMU & KASHMIR,Doda,28,0,524,552
JAMMU & KASHMIR,Jammu,0,0,0,0
JAMMU & KASHMIR,Kargil,0,0,493,493
JAMMU & KASHMIR,Kathua,8,0,186,194
JAMMU & KASHMIR,Kupwara,0,0,309,309
JAMMU & KASHMIR,Leh,0,0,670,670
JAMMU & KASHMIR,Poonch,0,0,0,0
JAMMU & KASHMIR,Pulwama,0,0,471,471
JAMMU & KASHMIR,Rajouri,11,0,186,197
JAMMU & KASHMIR,Srinagar,0,0,0,0
JAMMU & KASHMIR,Udhampur,35,0,291,326
KARNATAKA,BANGALORE RURAL,84,5,603,692
KARNATAKA,BANGALORE URBAN,21,14,611,646
