-----
{
 "description": "The table refers to district wise distribution of dugwells by type. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.5.csv", 
 "title": "Download CSV for District wise Distribution of Dugwells by its type for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.5.csv"
}
-----
"State","District","Pucca","Kuchcha","Dug-cum Borewell","Others","Total"
"ANDHRA PRADESH","ADILABAD",13825,10679,549,366,25419
"ANDHRA PRADESH","ANANTHAPUR",15249,24680,15440,211,55580
"ANDHRA PRADESH","CHITTOOR",50032,54577,16298,785,121692
"ANDHRA PRADESH","CUDDAPAH",21545,15574,3619,178,40916
"ANDHRA PRADESH","EAST GODAVARI",1548,182,316,39,2085
"ANDHRA PRADESH","GUNTUR",3440,8428,229,49,12146
"ANDHRA PRADESH","HYDERABAD",82,6,0,2,90
"ANDHRA PRADESH","KARIMNAGAR",20151,172168,6040,206,198565
"ANDHRA PRADESH","KHAMMAM",5402,27034,1842,87,34365
"ANDHRA PRADESH","KRISHNA",5330,6140,4028,58,15556
"ANDHRA PRADESH","KURNOOL",12834,18404,3329,162,34729
"ANDHRA PRADESH","MAHABOOB NAGAR",7328,78823,15208,259,101618
"ANDHRA PRADESH","MEDAK",12081,47253,5309,754,65397
"ANDHRA PRADESH","NALGONDA",19463,59026,33630,548,112667
"ANDHRA PRADESH","NELLORE",13672,15100,3453,103,32328
"ANDHRA PRADESH","NIZAMABAD",7573,22178,2696,147,32594
"ANDHRA PRADESH","PRAKASAM",12831,14214,1203,126,28374
"ANDHRA PRADESH","RANGA REDDY",10292,20895,3039,309,34535
"ANDHRA PRADESH","SRIKAKULUM",27452,7179,338,110,35079
"ANDHRA PRADESH","VIJAYA NAGARAM",28065,6389,525,173,35152
"ANDHRA PRADESH","VISAKHAPATNAM",19136,5948,411,148,25643
"ANDHRA PRADESH","WARANGAL",31220,115253,8669,1418,156560
"ANDHRA PRADESH","WEST GODAVARI",7738,428,7080,76,15322
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA
"ASSAM","DHUBRI",2,1,17,0,20
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA
"ASSAM","GOALPARA",0,1,0,0,1
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",2,2,0,0,4
"ASSAM","MARIGAON",2,0,0,0,2
"ASSAM","NAGAON",NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",2,0,0,0,2
"ASSAM","SONITPUR",3,6,0,0,9
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA
"BIHAR","ARARIA",4,1,0,0,5
"BIHAR","AURANGABAD",8064,173,806,13,9056
"BIHAR","BANKA",5944,629,126,6,6705
"BIHAR","BEGUSARAI",34,4,0,0,38
"BIHAR","BHABUA",4387,173,2363,8,6931
"BIHAR","BHAGALPUR",3406,463,176,19,4064
"BIHAR","BHOJPUR",3420,219,88,35,3762
"BIHAR","BOKARO",7550,318,10,35,7913
"BIHAR","BUXAR",1680,41,388,4,2113
"BIHAR","CHAMPARAN EAST",27,1,1,1,30
"BIHAR","CHAMPARAN WEST",12,0,0,0,12
"BIHAR","CHATRA",10652,1530,9,9,12200
"BIHAR","DARBHANGA",20,0,0,0,20
"BIHAR","DEOGHAR",8115,298,10,22,8445
"BIHAR","DHANBAD",2554,25,3,7,2589
"BIHAR","DUMKA",28656,718,35,58,29467
"BIHAR","GARHWA",12486,851,15,12,13364
"BIHAR","GAYA",15397,286,3163,21,18867
"BIHAR","GIRIDIH",20582,1693,31,60,22366
"BIHAR","GODDA",6836,427,15,27,7305
"BIHAR","GOPALGANJ",1847,111,143,0,2101
"BIHAR","GUMLA",29603,2642,23,78,32346
"BIHAR","HAZARIBAG",28329,3236,245,70,31880
"BIHAR","JAMUI",5441,288,86,32,5847
"BIHAR","JEHANABAD",2070,15,1262,0,3347
"BIHAR","KATIHAR",2,0,0,0,2
"BIHAR","KHAGARIA",6,0,0,0,6
"BIHAR","KISHANGANJ",1,0,0,0,1
"BIHAR","KODARMA",9160,550,26,17,9753
"BIHAR","LAKHISARAI",573,25,5,6,609
