-----
{
 "description": "The table refers to block wise Deep Tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "blckdptbwltab3.7.csv", 
 "title": "Download CSV for Block wise Deep Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/blckdptbwltab3.7.csv"
}
-----
-----
{
 "description": "The table refers to district wise Deep Tubewells according to water distribution system . The report has been sourced from 2nd census of minor irrigation scheme(1993-94) from ministry of water resources.", 
 "file_name": "Statedptbwltab3.7.csv", 
 "title": "Download CSV for District wise Deep Tubewells according to Water Distribution System for 2nd Census of Minor Irrigation Schemes (1993-94)", 
 "url": "http://data.gov.in/sites/default/files/Statedptbwltab3.7.csv"
}
-----
"State","District","Sprinkler","Drip Irrigation","Open channel","Under ground channel","Others","Total"
"ANDHRA PRADESH","ADILABAD",19,14,60,3,0,96
"ANDHRA PRADESH","ANANTHAPUR",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","CHITTOOR",85,37,4153,1136,55,5466
"ANDHRA PRADESH","CUDDAPAH",94,28,7012,768,58,7960
"ANDHRA PRADESH","EAST GODAVARI",2,2,2249,1,63,2317
"ANDHRA PRADESH","GUNTUR",0,0,438,0,229,667
"ANDHRA PRADESH","HYDERABAD",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","KARIMNAGAR",0,0,96,20,1,117
"ANDHRA PRADESH","KHAMMAM",0,9,525,3,0,537
"ANDHRA PRADESH","KRISHNA",1,1,840,0,6,848
"ANDHRA PRADESH","KURNOOL",0,5,1138,56,395,1594
"ANDHRA PRADESH","MAHABOOB NAGAR",0,0,96,10,3,109
"ANDHRA PRADESH","MEDAK",0,1,27,14,21,63
"ANDHRA PRADESH","NALGONDA",0,0,6,2,0,8
"ANDHRA PRADESH","NELLORE",0,5,190,16,2,213
"ANDHRA PRADESH","NIZAMABAD",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","PRAKASAM",0,0,173,5,0,178
"ANDHRA PRADESH","RANGA REDDY",0,0,65,21,0,86
"ANDHRA PRADESH","SRIKAKULUM",1,1,28,0,12,42
"ANDHRA PRADESH","VIJAYA NAGARAM",NA,NA,NA,NA,NA,NA
"ANDHRA PRADESH","VISAKHAPATNAM",0,0,17,0,1,18
"ANDHRA PRADESH","WARANGAL",1,1,182,28,1,213
"ANDHRA PRADESH","WEST GODAVARI",7,56,10397,30,194,10684
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",0,0,6,5,0,11
"ASSAM","BONGAIGAON",0,0,9,19,0,28
"ASSAM","CACHAR",0,0,5,0,0,5
"ASSAM","DARRANG",0,0,26,8,0,34
"ASSAM","DHEMAJI",0,0,9,6,0,15
"ASSAM","DHUBRI",0,0,7,13,0,20
"ASSAM","DIBRUGARH",0,0,8,7,0,15
"ASSAM","GOALPARA",1,0,7,27,1,36
"ASSAM","GOLAGHAT",0,0,47,21,6,74
"ASSAM","HAILAKANDI",0,0,8,0,0,8
"ASSAM","JORHAT",1,0,8,54,0,63
"ASSAM","KAMRUP",0,0,45,4,0,49
"ASSAM","KARBI ANGLONG",0,0,1,7,0,8
"ASSAM","KARIMGANJ",0,0,0,5,0,5
"ASSAM","KOKRAJHAR",0,0,1,5,0,6
"ASSAM","LAKHIMPUR",0,0,26,29,0,55
"ASSAM","MARIGAON",0,0,1,7,0,8
"ASSAM","NAGAON",0,0,15,3,6,24
"ASSAM","NALBARI",0,0,41,28,0,69
"ASSAM","NORTH CACHAR HILLS",0,0,2,0,0,2
"ASSAM","SIBSAGAR",0,0,5,5,0,10
"ASSAM","SONITPUR",0,0,7,4,0,11
"ASSAM","TINSUKIA",0,0,5,31,0,36
"BIHAR","ARARIA",3,1,6,5,0,15
"BIHAR","AURANGABAD",21,2,32,21,8,84
"BIHAR","BANKA",1,0,1,1,0,3
"BIHAR","BEGUSARAI",3,1,217,27,5,253
"BIHAR","BHABUA",1,1,82,35,1,120
"BIHAR","BHAGALPUR",45,3,86,31,17,182
"BIHAR","BHOJPUR",4,0,120,57,13,194
"BIHAR","BOKARO",NA,NA,NA,NA,NA,NA
"BIHAR","BUXAR",31,0,131,6,1,169
"BIHAR","CHAMPARAN EAST",14,7,182,74,5,282
"BIHAR","CHAMPARAN WEST",23,0,22,8,4,57
"BIHAR","CHATRA",NA,NA,NA,NA,NA,NA
"BIHAR","DARBHANGA",14,1,147,25,8,195
"BIHAR","DEOGHAR",NA,NA,NA,NA,NA,NA
"BIHAR","DHANBAD",NA,NA,NA,NA,NA,NA
"BIHAR","DUMKA",0,0,0,1,0,1
"BIHAR","GARHWA",0,0,6,5,0,11
"BIHAR","GAYA",11,1,21,2,3,38
"BIHAR","GIRIDIH",0,0,1,0,0,1
"BIHAR","GODDA",NA,NA,NA,NA,NA,NA
"BIHAR","GOPALGANJ",2,5,63,26,0,96
"BIHAR","GUMLA",NA,NA,NA,NA,NA,NA
"BIHAR","HAZARIBAG",NA,NA,NA,NA,NA,NA
"BIHAR","JAMUI",4,0,5,0,0,9
"BIHAR","JEHANABAD",8,4,46,49,0,107
"BIHAR","KATIHAR",4,0,7,17,2,30
"BIHAR","KHAGARIA",34,1,69,18,0,122
"BIHAR","KISHANGANJ",0,0,10,10,0,20
"BIHAR","KODARMA",0,0,16,0,0,16
"BIHAR","LAKHISARAI",9,0,12,10,0,31
"BIHAR","LOHARDAGA",NA,NA,NA,NA,NA,NA
"BIHAR","MADHEPURA",2,0,5,14,0,21
"BIHAR","MADHUBANI",35,0,899,15,26,975
"BIHAR","MUNGER",0,1,1,0,0,2
"BIHAR","MUZAFFARPUR",44,3,225,22,2,296
"BIHAR","NALANDA",74,8,217,17,16,332
"BIHAR","NAWADA",8,3,186,15,2,214
"BIHAR","PAKUR",1,0,20,0,1,22
"BIHAR","PALAMU",NA,NA,NA,NA,NA,NA
"BIHAR","PATNA",44,5,302,72,11,434
"BIHAR","PURNIA",1,0,3,1,2,7
"BIHAR","RANCHI",NA,NA,NA,NA,NA,NA
"BIHAR","ROHTAS",8,3,97,2,0,110
"BIHAR","SAHARSA",5,0,9,1,0,15
"BIHAR","SAHEBGANJ",NA,NA,NA,NA,NA,NA
"BIHAR","SAMASTIPUR",40,2,149,42,22,255
"BIHAR","SARAN",30,1,77,16,13,137
"BIHAR","SHEIKHPURA",0,0,48,13,33,94
"BIHAR","SHEOHAR",0,0,2,1,0,3
"BIHAR","SINGHBHUM EAST",0,0,2,4,0,6
"BIHAR","SINGHBHUM WEST",0,0,1,0,0,1
"BIHAR","SITAMARHI",17,1,1173,22,7,1220
"BIHAR","SIWAN",2,0,88,1,2,93
"BIHAR","SUPAUL",2,0,11,22,0,35
"BIHAR","VAISHALI",58,4,52,18,0,132
"GOA","NORTH GOA",4,0,13,0,1,18
"GOA","SOUTH GOA",0,0,1,0,0,1
"GUJARAT","",NA,NA,NA,NA,NA,NA
"HARYANA","AMBALA",15,8,2200,38,2,2263
"HARYANA","BHIWANI",25,0,0,0,0,25
"HARYANA","FARIDABAD",NA,NA,NA,NA,NA,NA
"HARYANA","GURGAON",3,2,73,50,2,130
"HARYANA","HISAR",NA,NA,NA,NA,NA,NA
"HARYANA","JIND",0,0,300,0,0,300
"HARYANA","KAITHAL",1,2,567,257,0,827
"HARYANA","KARNAL",7,6,1672,21,0,1706
"HARYANA","KURUKSHETRA",12,2,324,2,0,340
"HARYANA","MEHANDERGARH",64,1,35,0,0,100
"HARYANA","PANCHKULA",3,0,92,19,0,114
"HARYANA","PANIPAT",0,0,195,0,0,195
"HARYANA","RIWARI",NA,NA,NA,NA,NA,NA
"HARYANA","ROHTAK",NA,NA,NA,NA,NA,NA
"HARYANA","SIRSA",0,0,210,0,0,210
"HARYANA","SONIPAT",0,0,20,0,0,20
"HARYANA","YAMUNA NAGAR",3,3,174,4,0,184
"HIMACHAL PRADESH","Bilaspur",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Chamba",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Hamirpur",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kangra",10,0,29,17,0,56
"HIMACHAL PRADESH","Kinnaur",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Kullu",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Lahul & Spiti",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Mandi",0,0,2,0,0,2
"HIMACHAL PRADESH","Shimla",NA,NA,NA,NA,NA,NA
"HIMACHAL PRADESH","Sirmaur",1,0,0,9,0,10
"HIMACHAL PRADESH","Solan",1,0,18,7,0,26
