-----
{
 "description": "The table refers to district wise distribution of dugwells according to water lifting device. It has been sourced from 2nd census of Minor Irrigation Scheme (1993-94) from Ministry of Water Resources.", 
 "file_name": "Statedgwltab1.9.csv", 
 "title": "Download CSV for District wise Dugwells according to water lifting device for 2nd census of minor irrigation schemes", 
 "url": "http://data.gov.in/sites/default/files/Statedgwltab1.9.csv"
}
-----
"State","District","Electric pumps","Diesel pumps","Wind mills","Solar pumps","Man/Animal operated","Others","Total"
"ANDHRA PRADESH","ADILABAD",20212,2335,163,9,2664,36,25419
"ANDHRA PRADESH","ANANTHAPUR",52291,2673,19,15,519,63,55580
"ANDHRA PRADESH","CHITTOOR",109621,8821,111,2,3112,25,121692
"ANDHRA PRADESH","CUDDAPAH",29893,9327,39,12,1596,49,40916
"ANDHRA PRADESH","EAST GODAVARI",1158,788,2,0,130,7,2085
"ANDHRA PRADESH","GUNTUR",1366,3000,3,1,7776,0,12146
"ANDHRA PRADESH","HYDERABAD",81,0,0,0,9,0,90
"ANDHRA PRADESH","KARIMNAGAR",185013,10511,222,49,2605,165,198565
"ANDHRA PRADESH","KHAMMAM",23830,9593,15,7,850,70,34365
"ANDHRA PRADESH","KRISHNA",9711,5051,4,2,783,5,15556
"ANDHRA PRADESH","KURNOOL",25293,9328,5,3,97,3,34729
"ANDHRA PRADESH","MAHABOOB NAGAR",75077,25060,37,82,1307,55,101618
"ANDHRA PRADESH","MEDAK",62484,2111,270,7,342,183,65397
"ANDHRA PRADESH","NALGONDA",109465,2121,108,21,950,2,112667
"ANDHRA PRADESH","NELLORE",21926,10365,8,7,6,16,32328
"ANDHRA PRADESH","NIZAMABAD",32030,264,12,1,84,203,32594
"ANDHRA PRADESH","PRAKASAM",13668,9668,5,1,0,5032,28374
"ANDHRA PRADESH","RANGA REDDY",33132,1116,108,5,167,7,34535
"ANDHRA PRADESH","SRIKAKULUM",4756,2989,39,6,27251,38,35079
"ANDHRA PRADESH","VIJAYA NAGARAM",5891,2638,4,7,26606,6,35152
"ANDHRA PRADESH","VISAKHAPATNAM",5296,5111,9,4,15151,72,25643
"ANDHRA PRADESH","WARANGAL",143666,7321,870,69,2967,1667,156560
"ANDHRA PRADESH","WEST GODAVARI",14632,643,0,0,29,18,15322
"ARUNACHAL PRADESH","CHANGLANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","DIBANG VALLEY",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST KAMENG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","EAST SIANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOHIT",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","LOWER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","PAPUM PARE",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TAWANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","TIRAP",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SIANG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","UPPER SUBANSIRI",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST KAMENG",NA,NA,NA,NA,NA,NA,NA
"ARUNACHAL PRADESH","WEST SIANG",NA,NA,NA,NA,NA,NA,NA
"ASSAM","BARPETA",NA,NA,NA,NA,NA,NA,NA
"ASSAM","BONGAIGAON",NA,NA,NA,NA,NA,NA,NA
"ASSAM","CACHAR",NA,NA,NA,NA,NA,NA,NA
"ASSAM","DARRANG",NA,NA,NA,NA,NA,NA,NA
"ASSAM","DHEMAJI",NA,NA,NA,NA,NA,NA,NA
"ASSAM","DHUBRI",0,15,0,0,5,0,20
"ASSAM","DIBRUGARH",NA,NA,NA,NA,NA,NA,NA
"ASSAM","GOALPARA",0,1,0,0,0,0,1
"ASSAM","GOLAGHAT",NA,NA,NA,NA,NA,NA,NA
"ASSAM","HAILAKANDI",NA,NA,NA,NA,NA,NA,NA
"ASSAM","JORHAT",NA,NA,NA,NA,NA,NA,NA
"ASSAM","KAMRUP",NA,NA,NA,NA,NA,NA,NA
"ASSAM","KARBI ANGLONG",NA,NA,NA,NA,NA,NA,NA
"ASSAM","KARIMGANJ",NA,NA,NA,NA,NA,NA,NA
"ASSAM","KOKRAJHAR",NA,NA,NA,NA,NA,NA,NA
"ASSAM","LAKHIMPUR",0,3,0,0,0,1,4
"ASSAM","MARIGAON",0,2,0,0,0,0,2
"ASSAM","NAGAON",NA,NA,NA,NA,NA,NA,NA
"ASSAM","NALBARI",NA,NA,NA,NA,NA,NA,NA
"ASSAM","NORTH CACHAR HILLS",NA,NA,NA,NA,NA,NA,NA
"ASSAM","SIBSAGAR",0,2,0,0,0,0,2
"ASSAM","SONITPUR",0,5,0,0,4,0,9
"ASSAM","TINSUKIA",NA,NA,NA,NA,NA,NA,NA
"BIHAR","ARARIA",0,1,0,0,4,0,5
"BIHAR","AURANGABAD",1506,2910,21,6,4522,91,9056
"BIHAR","BANKA",52,2286,3,0,4316,48,6705
"BIHAR","BEGUSARAI",0,1,0,0,33,4,38
"BIHAR","BHABUA",1912,4060,28,0,719,212,6931
"BIHAR","BHAGALPUR",571,1742,2,1,1744,4,4064
"BIHAR","BHOJPUR",22,2241,19,15,1428,37,3762
"BIHAR","BOKARO",26,1381,11,6,6140,349,7913
"BIHAR","BUXAR",147,1193,2,2,415,354,2113
"BIHAR","CHAMPARAN EAST",1,3,0,0,26,0,30
"BIHAR","CHAMPARAN WEST",0,5,0,0,7,0,12
"BIHAR","CHATRA",229,4401,29,13,7433,95,12200
"BIHAR","DARBHANGA",4,11,0,0,5,0,20
"BIHAR","DEOGHAR",56,6271,21,9,2012,76,8445
"BIHAR","DHANBAD",53,707,8,4,1758,59,2589
"BIHAR","DUMKA",208,12987,61,17,15511,683,29467
"BIHAR","GARHWA",479,5328,32,13,6863,649,13364
"BIHAR","GAYA",2060,10854,26,41,5436,450,18867
"BIHAR","GIRIDIH",167,5015,35,18,15270,1861,22366
